ROUTE_ID,MEASURE,DISTANCE,ELEV,LATITUDE,LONGITUDE
3,2557.616427,-1.157192,1383.362793,38.588588,-109.532609
3,2557.616427,-1.157192,1383.362793,38.588588,-109.532609
3,2560.114961,-1.123854,1383.76416,38.588611,-109.532596
3,2560.114961,-1.123854,1383.76416,38.588611,-109.532596
3,2562.193132,-1.057377,1383.939453,38.58863,-109.53259
3,2562.193132,-1.057377,1383.939453,38.58863,-109.53259
3,2562.193132,-1.057377,1383.939453,38.58863,-109.53259
3,2564.661787,-0.826133,1384.404785,38.588655,-109.532591
3,2564.661787,-0.826133,1384.404785,38.588655,-109.532591
3,2564.661787,-0.826133,1384.404785,38.588655,-109.532591
3,2566.684311,-0.588629,1385.081787,38.588674,-109.5326
3,2566.684311,-0.588629,1385.081787,38.588674,-109.5326
3,2566.684311,-0.588629,1385.081787,38.588674,-109.5326
3,2569.393681,-0.555907,1386.680664,38.588696,-109.532614
3,2569.393681,-0.555907,1386.680664,38.588696,-109.532614
3,2569.393681,-0.555907,1386.680664,38.588696,-109.532614
3,2571.734036,-0.844339,1387.593994,38.588715,-109.532622
3,2571.734036,-0.844339,1387.593994,38.588715,-109.532622
3,2571.734036,-0.844339,1387.593994,38.588715,-109.532622
3,2575.64277,-1.143073,1388.161133,38.588736,-109.532607
3,2575.64277,-1.143073,1388.161133,38.588736,-109.532607
3,2575.64277,-1.143073,1388.161133,38.588736,-109.532607
4,4222.166459,0.590491,1422.214355,38.5889,-109.542097
4,4217.324462,0.774474,1421.492188,38.588899,-109.54204
4,4227.158833,0.579433,1422.915527,38.588903,-109.542154
4,4232.19078,0.64201,1423.221313,38.588906,-109.542212
4,4237.180299,0.609673,1423.629395,38.588907,-109.542269
4,4242.202458,0.675515,1424.623657,38.588908,-109.542327
4,4247.118776,0.475909,1425.112549,38.588911,-109.542384
4,4212.345219,0.806868,1420.636719,38.588906,-109.541983
3,2577.885707,-1.138631,1389.053711,38.58875,-109.532589
3,2577.885707,-1.138631,1389.053711,38.58875,-109.532589
3,2577.885707,-1.138631,1389.053711,38.58875,-109.532589
4,4207.530905,0.954526,1419.37915,38.588916,-109.541927
4,4207.530905,0.954526,1419.37915,38.588916,-109.541927
4,4252.009425,0.066806,1425.541626,38.58893,-109.542435
3,2580.575222,-1.151449,1389.880493,38.588768,-109.532567
4,4202.706616,1.067482,1418.121582,38.588936,-109.541876
4,4202.706616,1.067482,1418.121582,38.588936,-109.541876
3,2582.760717,-1.160605,1390.182739,38.588783,-109.53255
4,4257.017792,-0.213015,1425.583496,38.588958,-109.542479
3,2585.30363,-1.152112,1390.15918,38.588804,-109.532532
3,2585.312669,-1.157083,1390.15918,38.588804,-109.532532
4,4198.1437,1.163007,1416.899902,38.588966,-109.541834
4,4262.032237,-0.273331,1425.895264,38.588991,-109.542519
4,4193.424481,1.134728,1416.37085,38.589006,-109.541807
3,2589.816595,-0.996496,1389.68042,38.588848,-109.532521
3,2589.823184,-0.996067,1389.68042,38.588848,-109.532521
